epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,227.832,1.1825,1.75706,1.66007,0.91345,0.68603,0.89577,0.51229,1.15117,2.72424,2.24406,0.000651515,0.000651515,0.000651515
2,450.275,1.23452,1.37197,1.67644,0.76227,0.76954,0.83619,0.40102,1.49743,2.26267,3.21422,0.00125293,0.00125293,0.00125293
3,679.446,1.2177,1.24721,1.66632,0.4166,0.625,0.47382,0.20392,1.62332,2.31436,2.74142,0.00178835,0.00178835,0.00178835
4,898.803,1.24201,1.15723,1.66689,0.56229,0.595,0.62681,0.29906,1.71646,2.50553,2.49319,0.001703,0.001703,0.001703
5,1127.6,1.20528,1.0665,1.63867,0.09325,0.12,0.06632,0.02158,3.48733,3.51697,4.28175,0.001604,0.001604,0.001604
6,1340.84,1.17208,1.01502,1.62129,0.92556,0.87041,0.90961,0.53946,1.49121,1.04118,2.57023,0.001505,0.001505,0.001505
7,1553.46,1.1364,0.93191,1.59482,0.86856,0.84,0.91903,0.52022,1.37277,1.05786,2.20757,0.001406,0.001406,0.001406
8,1761.75,1.1248,0.93115,1.55873,0.94382,0.94,0.95697,0.62746,1.21759,0.9459,2.0587,0.001307,0.001307,0.001307
9,1961.27,1.08421,0.8082,1.53099,0.97989,0.97477,0.98517,0.66998,1.15557,0.74382,1.97104,0.001208,0.001208,0.001208
10,2164.26,1.08584,0.82596,1.5283,0.968,0.97,0.98748,0.69232,1.08142,0.64656,1.89236,0.001109,0.001109,0.001109
11,2361.33,0.91554,0.72083,1.626,0.97007,0.9725,0.98889,0.67596,1.1109,0.75852,1.84296,0.00101,0.00101,0.00101
12,2577.58,0.88932,0.65351,1.59094,0.97786,0.96,0.992,0.72951,0.93467,0.59852,1.68772,0.000911,0.000911,0.000911
13,2783.31,0.84249,0.59039,1.54746,0.97724,0.965,0.99258,0.72332,1.01165,0.59523,1.77606,0.000812,0.000812,0.000812
14,2995.64,0.83674,0.55684,1.54055,0.98352,0.965,0.99129,0.72019,1.03204,0.54683,1.79822,0.000713,0.000713,0.000713
15,3202.92,0.82414,0.53506,1.51032,0.96107,0.98751,0.99304,0.73246,1.00717,0.55947,1.74212,0.000614,0.000614,0.000614
16,3411.18,0.81704,0.50369,1.51049,0.98018,0.98892,0.994,0.73659,0.9451,0.51168,1.69397,0.000515,0.000515,0.000515
17,3616.96,0.77319,0.48622,1.47624,0.98999,0.98924,0.99485,0.75573,0.92738,0.48877,1.64993,0.000416,0.000416,0.000416
18,3821.35,0.7502,0.45394,1.43267,0.98016,0.98803,0.99384,0.76002,0.90172,0.45379,1.63047,0.000317,0.000317,0.000317
19,4019.29,0.73408,0.44075,1.406,0.98616,0.99,0.99384,0.74735,0.94544,0.46503,1.64531,0.000218,0.000218,0.000218
20,4217.37,0.68879,0.40495,1.39922,0.99004,0.99442,0.99485,0.76859,0.89576,0.43434,1.59966,0.000119,0.000119,0.000119
